Wavelength(um),S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S070,S071,S072,S073,S074,S075,S076,S077,S078,S079,S080,S081,S082,S083,S084,S085,S086,S087,S088,S089,S090,S091,S092,S093,S094,S095,S096,S097,S098,S099,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110
0.45,0.942124338,0.941300763,0.734331123,0.871320913,0.954713991,0.712053928,0.808192771,0.826739733,0.890206232,0.862327865,0.896447315,0.819840673,0.912783432,0.918535869,0.895131566,0.887157979,0.914002491,0.93285008,0.989634647,0.843510969,0.871392788,0.824111396,0.621593459,0.719444572,0.533934176,0.902177988,0.63858928,0.9244419,0.904836683,0.73076412,0.917766299,0.838210209,0.905397153,0.683285818,0.78610846,0.545891277,0.76416546,0.883867352,0.668791806,0.931341072,0.957463507,0.744788623,0.942972919,0.905593888,0.937367411,0.515681327,0.716320091,0.922335601,0.624154942,0.639454476,0.765357503,0.637437711,0.800627851,0.853620265,0.922642478,0.791522261,0.696571564,0.926526818,0.939230891,0.741759277,1.016046681,0.810600136,0.875248509,0.928306878,0.962866493,0.867256637,0.827990017,0.827512195,0.999675568,0.916746559,0.925542406,0.904038789,0.879904273,0.699901975,0.944185212,1.001510574,0.925363694,0.931995207,0.962476694,0.928048473,0.844665972,0.830716453,0.797602203,0.821762483,0.828216779,0.879177162,0.883723046,0.911648569,0.663795461,1.257372654,0.871564549,0.794344013,0.865577799,0.910020184,0.835644938,0.932273905,0.918729974,0.819398376,0.909618076,0.915353507,0.785573512,0.636920459,1.000785546,0.737504482,0.878687645,0.899308007,0.525016422,0.953248573,0.713281698,0.97895058
0.455,0.942514636,0.944599052,0.746191074,0.876093783,0.960204919,0.719018562,0.818409639,0.836660171,0.896747524,0.86951571,0.903512313,0.829851195,0.919701839,0.922704355,0.902727477,0.890220358,0.917946855,0.93964393,0.990968801,0.852295963,0.879637844,0.833089044,0.635299776,0.732917831,0.543572508,0.905075156,0.651714257,0.930394963,0.906407035,0.74358804,0.923695768,0.84431177,0.91066099,0.698037526,0.799261441,0.556257901,0.776489254,0.890235032,0.676839465,0.934119536,0.956992623,0.756282876,0.944866396,0.912419675,0.938882715,0.528598894,0.722469455,0.926587302,0.637333272,0.653668844,0.775226586,0.65632535,0.811022922,0.866845999,0.925444977,0.805385231,0.705635714,0.930350466,0.940734293,0.756451309,1.0134938,0.817534804,0.881047051,0.932671958,0.96507046,0.86852086,0.836820887,0.836097561,1.000973295,0.925015408,0.929733728,0.908994032,0.885496008,0.710824814,0.948223259,1,0.929475016,0.936151887,0.964807334,0.929394934,0.85671775,0.838896952,0.809753719,0.823353889,0.836085559,0.87884131,0.89154763,0.914856861,0.676319387,1.230116175,0.877409857,0.806515124,0.864855099,0.914512664,0.843619972,0.935240758,0.924847073,0.826375386,0.91468373,0.920164552,0.796314545,0.649766057,0.999312647,0.746506692,0.882844627,0.90036718,0.537770966,0.95576384,0.72597533,0.978462477
0.46,0.947477,0.949082663,0.755242875,0.877182332,0.96246922,0.728539024,0.828080321,0.846306348,0.902970837,0.877486389,0.913672453,0.841094243,0.924633994,0.929532733,0.90942598,0.898209174,0.924849491,0.945861515,0.998255337,0.859490571,0.893362208,0.844239125,0.647162552,0.740891801,0.55321084,0.910733154,0.664839233,0.93485976,0.91419598,0.751893688,0.929625237,0.851856712,0.915924827,0.712789233,0.809841915,0.566624526,0.788813049,0.896602712,0.680915552,0.936898,0.95919008,0.766608221,0.946759873,0.919245462,0.941004142,0.542237443,0.73582005,0.93494898,0.650511602,0.66212063,0.779456193,0.666452339,0.821558668,0.873570948,0.927776827,0.813649693,0.714699864,0.934765617,0.943899351,0.770766623,1.010940919,0.822435998,0.885188867,0.936904762,0.967140854,0.877370417,0.847955462,0.845268293,1.002108806,0.929089913,0.931459566,0.915920716,0.891087742,0.719086963,0.952261307,0.998489426,0.934376977,0.940308568,0.966982598,0.928132626,0.859395923,0.842591371,0.821905235,0.82991844,0.843954339,0.883291352,0.896278774,0.918065153,0.688843314,1.199285076,0.883255165,0.811168785,0.863843319,0.915033531,0.850208044,0.938207612,0.93176522,0.833352396,0.91748317,0.924975596,0.805281829,0.659293917,0.997839749,0.755508901,0.887001609,0.901426352,0.548390628,0.958279107,0.733864028,0.977974375
0.465,0.953108447,0.953205525,0.763398459,0.880154909,0.965441114,0.734609118,0.836465863,0.853413644,0.911147452,0.883749066,0.918517023,0.848850143,0.929543831,0.933740919,0.914297619,0.900605819,0.930039444,0.950987231,0.978037767,0.866407492,0.899180713,0.851751034,0.657101635,0.750103112,0.563823604,0.91645932,0.676122947,0.937034917,0.921482412,0.76345515,0.934414038,0.859073612,0.921266073,0.720910959,0.818472263,0.575158028,0.795300444,0.899679231,0.696697324,0.939552976,0.959974886,0.773085915,0.949533791,0.923939116,0.955146985,0.552271089,0.742940367,0.939342404,0.662022657,0.67354975,0.78388721,0.678106414,0.833323461,0.879623403,0.934280335,0.821647561,0.724783498,0.93960327,0.952128501,0.773215295,1.010576222,0.827363262,0.889662028,0.943121693,0.970279837,0.88706279,0.855442503,0.858341463,1.003781657,0.933660892,0.935897436,0.920609548,0.897415836,0.730009803,0.955850682,1.000755287,0.940069576,0.944278011,0.969080174,0.930909703,0.864752269,0.849188547,0.832402769,0.83230555,0.851989361,0.889756507,0.902829588,0.923494571,0.701490293,1.17515639,0.889886954,0.821013066,0.863481969,0.927859887,0.857142857,0.941720093,0.936498689,0.844961684,0.92588149,0.934388509,0.812672448,0.66967248,0.997888845,0.765028745,0.889281244,0.905309984,0.557532297,0.961094704,0.743115318,0.979042099
0.47,0.953610259,0.955112348,0.770448706,0.875549508,0.968158275,0.740168046,0.840289157,0.859196648,0.914736077,0.888908657,0.926456735,0.854952653,0.931820211,0.936083211,0.91955386,0.912256175,0.93590409,0.954626793,0.98260468,0.872087446,0.903851172,0.858817987,0.665197179,0.760551762,0.574436368,0.920038174,0.68740666,0.936233543,0.924937186,0.769169435,0.939202838,0.864256659,0.926607319,0.729032686,0.827807975,0.58369153,0.801787838,0.902755751,0.728156355,0.942207953,0.96170146,0.786382233,0.952307709,0.92863277,0.955551066,0.555936073,0.752892629,0.93835034,0.673533711,0.68401844,0.798388721,0.688554895,0.840875437,0.889262497,0.93650522,0.831245001,0.734867133,0.945138053,0.956638709,0.781314749,1.010211524,0.825955472,0.893141153,0.946693122,0.97321846,0.894648125,0.86945671,0.872780488,1.005160492,0.940782716,0.937130178,0.926097613,0.903743931,0.736451477,0.959440057,1.003021148,0.943864643,0.948247454,0.97078931,0.928890011,0.872340426,0.855917667,0.842900302,0.836880843,0.860024382,0.895549958,0.907742699,0.928923988,0.714137271,1.159070599,0.896518743,0.825487739,0.863192889,0.931505957,0.862690707,0.945232574,0.940868045,0.856570971,0.928614277,0.938502301,0.82026015,0.677158656,0.997937942,0.774548588,0.89156088,0.909193617,0.565798117,0.963910301,0.750358577,0.980109823
0.475,0.957959297,0.959750567,0.778215929,0.879275696,0.971299992,0.749880196,0.84886747,0.870449215,0.92313982,0.895242501,0.931974162,0.861776642,0.939564364,0.942077891,0.925707509,0.918713801,0.938576915,0.958690971,0.982707307,0.880190846,0.908469446,0.866094331,0.680025649,0.770954585,0.582207893,0.925696172,0.700806071,0.945163137,0.935678392,0.778671096,0.94419515,0.87291694,0.930933643,0.740038454,0.838388449,0.59437421,0.811786654,0.908181395,0.732232441,0.944801185,0.964055878,0.79792519,0.955999194,0.935562202,0.961915345,0.571437155,0.761712113,0.947278912,0.684884889,0.694583173,0.807452165,0.703584633,0.854076586,0.895314952,0.940163443,0.839509464,0.745799721,0.950947462,0.959329008,0.790544359,1.008752735,0.84003337,0.89860835,0.95218254,0.97642423,0.898019385,0.882511039,0.882731707,1.004623152,0.948418133,0.942307692,0.9321185,0.910169823,0.744713626,0.962491027,1,0.948766603,0.952404134,0.972964574,0.931751241,0.876804047,0.861459295,0.853455199,0.842052914,0.868668957,0.903946264,0.914293513,0.933983218,0.72894449,1.13360143,0.902510976,0.833542151,0.862108839,0.934826486,0.870492372,0.947824308,0.944654821,0.863090472,0.932080251,0.937735323,0.825088687,0.686771587,0.998183425,0.78706724,0.895941355,0.917878831,0.575049266,0.964861347,0.758247275,0.981574131
0.48,0.959464734,0.963461142,0.787207982,0.881264392,0.973196343,0.760582729,0.860144578,0.879040136,0.927546107,0.900615593,0.929955591,0.869742973,0.942800393,0.943943785,0.930579148,0.922974502,0.942754827,0.96166328,0.985119048,0.888344735,0.913531284,0.873423023,0.690605963,0.780624169,0.589979417,0.932478953,0.714205481,0.944018317,0.943278894,0.788770764,0.949187462,0.88124918,0.935259966,0.751044222,0.846022987,0.60505689,0.821785471,0.91360704,0.74007107,0.947394418,0.966096374,0.804743815,0.959690679,0.942491634,0.961713304,0.584895458,0.768185128,0.949829932,0.696236068,0.705436035,0.810674723,0.716605047,0.864664159,0.902264066,0.943607736,0.852839243,0.756732309,0.958742633,0.965421744,0.805236391,1.007293946,0.851817092,0.900927767,0.960449735,0.979229279,0.90223346,0.892877712,0.893073171,1.005150354,0.954666849,0.946252465,0.940750213,0.916595715,0.75661672,0.965541996,0.996978852,0.955566097,0.956560815,0.97428527,0.931078011,0.885284928,0.870827286,0.864010096,0.845832504,0.877313532,0.909823678,0.919297607,0.939042448,0.743751709,1.118409294,0.908503209,0.843744407,0.863626509,0.937691256,0.88037448,0.950416041,0.947057967,0.869609974,0.935946144,0.945195928,0.835928262,0.695789026,0.998428908,0.799585893,0.900321831,0.926564045,0.585121524,0.965812394,0.766781411,0.983038438
0.485,0.96258712,0.965986395,0.802981418,0.884864978,0.975149302,0.775342641,0.871196787,0.88662282,0.936903788,0.906593602,0.93419459,0.878520968,0.951147117,0.948866569,0.936316144,0.923373943,0.947555532,0.965636468,0.985888752,0.89665009,0.922950477,0.881536931,0.70431228,0.792997571,0.602814571,0.935955554,0.727987823,0.946765884,0.946670854,0.79627907,0.953544114,0.8870227,0.939440072,0.765000331,0.856561968,0.618868521,0.830992385,0.915043942,0.748641304,0.950790319,0.968764715,0.816140658,0.962411558,0.945541769,0.963935751,0.594688777,0.785014969,0.951955782,0.71233784,0.720418748,0.83021148,0.729866581,0.876266066,0.909213181,0.947009242,0.849106905,0.769785426,0.963854913,0.968032917,0.817479751,1.006929249,0.859429584,0.908217362,0.96547619,0.982167902,0.908554572,0.902476483,0.903609756,1.005454509,0.960179415,0.950690335,0.944106991,0.921220977,0.768239742,0.969490309,0.997734139,0.959519292,0.960680048,0.976072094,0.933855087,0.892129147,0.879007785,0.873083101,0.851601353,0.886013521,0.91620487,0.924847603,0.947186575,0.758545256,1.101876676,0.914331232,0.852335779,0.865144179,0.939384074,0.88592233,0.953826217,0.951864259,0.881505204,0.941545024,0.947566588,0.844304296,0.709825606,0.999067164,0.809883634,0.904612909,0.929388504,0.598806656,0.969153569,0.778471027,0.984746797
0.49,0.968107053,0.970882292,0.812272211,0.894557254,0.978092893,0.791124884,0.876465863,0.898478762,0.937585173,0.914920115,0.941528731,0.88928303,0.953691305,0.955059748,0.941892888,0.935823181,0.95222649,0.968912074,0.990763547,0.902986393,0.929082085,0.890357535,0.720423213,0.80560011,0.615649724,0.939432155,0.741770165,0.951574127,0.948869347,0.811694352,0.957900767,0.893977168,0.943620178,0.778956441,0.865233808,0.632680152,0.8401993,0.916480843,0.761078595,0.954186219,0.969078638,0.826173778,0.965132437,0.948591904,0.967774523,0.616378274,0.797556437,0.958900227,0.728439613,0.738186708,0.840886203,0.745780421,0.884506604,0.91773145,0.950646072,0.855771794,0.782838543,0.968375689,0.970011078,0.831229987,1.006564551,0.87170864,0.912359178,0.967460317,0.984305082,0.914875685,0.911499328,0.91395122,1.006975282,0.964972951,0.953895464,0.949861466,0.925846239,0.785744294,0.973438622,0.998489426,0.962839975,0.964799281,0.977858919,0.935622318,0.897634281,0.886660509,0.882156105,0.861348717,0.89471351,0.920822838,0.930397598,0.955330701,0.773338802,1.095174263,0.920159255,0.860748165,0.867384549,0.940881568,0.895804438,0.957236393,0.956961841,0.893400435,0.942278211,0.949518896,0.855833662,0.723096555,0.99970542,0.820181374,0.908903987,0.932212964,0.615393037,0.972494744,0.791236374,0.986455156
0.495,0.97122944,0.975314368,0.827806656,0.901486288,0.979762815,0.807705824,0.888289157,0.905920396,0.946761152,0.923246628,0.95545687,0.903381933,0.959382253,0.96057803,0.949616999,0.942480527,0.958272784,0.974523066,0.988043924,0.911796632,0.93396128,0.900251269,0.736774607,0.816919481,0.635757219,0.943215515,0.760913547,0.957298226,0.94968593,0.826312292,0.962367969,0.901194069,0.948475466,0.795730292,0.877930376,0.651959545,0.852441368,0.922782938,0.774665552,0.95708817,0.970020405,0.838106371,0.969630109,0.95466256,0.968683705,0.623888488,0.812039809,0.959750567,0.7477389,0.753457549,0.855790534,0.76386433,0.895975241,0.9244564,0.954218723,0.887230072,0.799191085,0.970995205,0.972226618,0.847617254,1.004741065,0.882892747,0.919483101,0.97202381,0.986442263,0.921618205,0.920714149,0.922731707,1.006458219,0.970896391,0.958086785,0.953484655,0.933543503,0.800448117,0.976938263,1,0.966476913,0.969480228,0.979568055,0.93940924,0.903436989,0.89418129,0.894192895,0.869305749,0.903635155,0.923677582,0.934400873,0.959649556,0.790675417,1.079982127,0.926808329,0.871308394,0.872371179,0.9473273,0.902565881,0.960953485,0.951937081,0.900663388,0.946210758,0.949937247,0.868545526,0.740280732,0.99970542,0.834874669,0.914938316,0.93814433,0.633950077,0.975060066,0.804575445,0.988071995
